  using 8 OpenMP thread(s) per MPI task
using multi-threaded neighbor list subroutines
Reading data file ...
  orthogonal box = (-60 -40 -40) to (60 40 40)
  1 by 1 by 1 MPI processor grid
  reading atoms ...
  700 atoms
  read_data CPU = 0.004 seconds
Reading airebo potential file CH.airebo with DATE: 2011-10-25
700 atoms in group carbon_atoms
10 atoms in group cnt_top
10 atoms in group cnt_bot
680 atoms in group cnt_mid
630 atoms in group rdel
Deleted 10 atoms, new total = 690
Resetting atom IDs ...
Last active /omp style is pair_style airebo/omp
Neighbor list info ...
  update: every = 1 steps, delay = 0 steps, check = yes
  max neighbors/atom: 2000, page size: 100000
  master list distance cutoff = 12.2
  ghost atom cutoff = 12.2
  binsize = 6.1, bins = 20 14 14
  1 neighbor lists, perpetual/occasional/extra = 1 0 0
  (1) pair airebo/omp, perpetual
      attributes: full, newton on, ghost, omp
      pair build: full/bin/ghost/omp
      stencil: full/ghost/bin/3d
      bin: standard
WARNING: Temperature for thermo pressure is not for group all (src/thermo.cpp:533)
Last active /omp style is pair_style airebo/omp
Setting up Verlet run ...
  Unit style    : metal
  Current step  : 0
  Time step     : 0.0005
Per MPI rank memory allocation (min/avg/max) = 12.74 | 12.74 | 12.74 Mbytes
   Step          Temp          TotEng         v_Lcnt         v_Fcnt    
     13000   295.20876     -4859.6743      57.722         47.832925    
     13100   295.3848      -4857.2798      57.797         48.683883    
     13200   298.37463     -4854.9747      57.872         51.227938    
     13300   306.06242     -4852.9369      57.947         56.633141    
     13400   299.10637     -4850.9523      58.022         59.092087    
     13500   305.60207     -4849.1793      58.097         60.135494    
     13600   293.82907     -4848.022       58.172         57.547093    
     13700   297.42301     -4846.7928      58.247         62.193117    
     13800   283.60914     -4844.9037      58.322         62.849289    
     13900   277.65901     -4842.3417      58.397         62.067245    
     14000   297.57805     -4839.3139      58.472         59.465344    
     14100   286.03094     -4836.0096      58.547         66.911253    
     14200   290.0556      -4832.9261      58.622         67.687161    
     14300   314.50085     -4830.1154      58.697         66.538321    
     14400   312.09763     -4827.6374      58.772         65.591049    
     14500   295.86587     -4825.1359      58.847         69.351893    
     14600   300.52541     -4822.4275      58.922         65.56533     
     14700   293.85116     -4819.9254      58.997         66.495281    
     14800   295.34511     -4817.3627      59.072         72.404643    
     14900   308.35835     -4814.6488      59.147         70.805018    
     15000   292.54099     -4811.8938      59.222         75.539092    
     15100   301.15765     -4809.0367      59.297         71.107297    
     15200   302.24305     -4806.1518      59.372         72.613892    
     15300   301.83552     -4803.0968      59.447         75.127837    
     15400   304.22446     -4799.9847      59.522         74.592164    
     15500   297.6611      -4796.7945      59.597         73.572352    
     15600   308.46204     -4793.5574      59.672         78.950114    
     15700   310.23333     -4790.3216      59.747         81.787304    
     15800   296.41163     -4787.2689      59.822         79.154583    
     15900   298.57743     -4784.7241      59.897         79.079137    
     16000   289.48129     -4782.4988      59.972         81.992937    
     16100   292.00244     -4780.2219      60.047         82.58906     
     16200   287.10758     -4777.6095      60.122         81.365381    
     16300   295.12383     -4774.6525      60.197         83.468695    
     16400   290.71147     -4771.2443      60.272         84.73903     
     16500   299.93013     -4766.9727      60.347         86.07023     
     16600   294.30127     -4762.5579      60.422         84.696278    
     16700   308.89697     -4758.913       60.497         91.141053    
     16800   306.20304     -4755.793       60.572         83.356469    
     16900   294.77886     -4752.8567      60.647         85.363461    
     17000   309.76756     -4749.7579      60.722         87.966431    
     17100   300.34621     -4746.7667      60.797         88.131898    
     17200   294.24953     -4743.871       60.872         89.700712    
     17300   287.35455     -4740.9397      60.947         91.247548    
     17400   298.15076     -4737.8928      61.022         95.910347    
     17500   271.0358      -4735.0375      61.097         88.837214    
     17600   269.52335     -4732.101       61.172         88.146428    
     17700   295.40999     -4728.4865      61.247         91.005384    
     17800   289.74032     -4724.0408      61.322         91.947574    
     17900   296.22659     -4719.3388      61.397         93.750466    
     18000   286.81697     -4714.9675      61.472         94.079008    
     18100   299.05931     -4710.9717      61.547         91.424202    
     18200   305.88577     -4707.1941      61.622         106.09983    
     18300   302.57083     -4703.6554      61.697         98.964582    
     18400   293.75019     -4700.263       61.772         93.678173    
     18500   297.52911     -4696.9053      61.847         101.43595    
     18600   297.35139     -4693.8782      61.922         96.991698    
     18700   279.55496     -4690.9868      61.997         110.96199    
     18800   287.94128     -4687.7468      62.072         107.14245    
     18900   282.92696     -4684.0439      62.147         100.55468    
     19000   300.34001     -4679.378       62.222         99.802238    
     19100   301.96231     -4674.1551      62.297         105.87066    
     19200   307.81514     -4669.5832      62.372         100.21776    
     19300   306.7266      -4665.6952      62.447         93.543718    
     19400   300.29914     -4661.9275      62.522         110.38907    
     19500   306.80667     -4658.3321      62.597         92.809905    
     19600   295.846       -4654.8633      62.672         97.55376     
     19700   299.49942     -4651.402       62.747         108.51046    
     19800   302.81985     -4647.8175      62.822         107.41636    
     19900   294.81207     -4644.1755      62.897         110.3027     
     20000   285.43458     -4640.3696      62.972         108.57393    
     20100   299.06768     -4636.1305      63.047         103.43584    
     20200   300.66553     -4631.242       63.122         106.10904    
     20300   304.95701     -4626.2106      63.197         96.818933    
     20400   305.06058     -4621.5517      63.272         102.05699    
     20500   299.12567     -4617.1612      63.347         106.41259    
     20600   305.69473     -4613.0666      63.422         106.43364    
     20700   300.70897     -4609.2278      63.497         116.02442    
     20800   287.32307     -4605.7471      63.572         114.36482    
     20900   292.59276     -4602.3996      63.647         104.13604    
     21000   278.44431     -4599.0886      63.722         110.23904    
     21100   294.96337     -4595.3774      63.797         112.86541    
     21200   288.8584      -4591.0537      63.872         121.14517    
     21300   292.29765     -4585.8426      63.947         115.43147    
     21400   296.81397     -4579.9172      64.022         122.10342    
     21500   307.61138     -4575.0275      64.097         111.45453    
     21600   319.12628     -4570.4367      64.172         109.54907    
     21700   301.69686     -4566.154       64.247         112.26712    
     21800   313.5316      -4561.951       64.322         114.97635    
     21900   298.8441      -4558.1117      64.397         113.33017    
     22000   294.93111     -4554.2822      64.472         110.29704    
     22100   297.10965     -4550.3815      64.547         123.50176    
     22200   297.40399     -4546.1605      64.622         121.24433    
     22300   296.96293     -4541.9533      64.697         118.08856    
     22400   286.44177     -4537.56        64.772         123.61705    
     22500   301.22311     -4532.436       64.847         114.93818    
     22600   318.85129     -4526.7326      64.922         120.72889    
     22700   308.48101     -4521.5002      64.997         118.70369    
     22800   302.47073     -4516.7088      65.072         122.94887    
     22900   309.37389     -4512.3056      65.147         117.73269    
     23000   286.2891      -4508.191       65.222         119.8168     
     23100   308.0415      -4504.2512      65.297         119.11379    
     23200   290.16009     -4500.3322      65.372         118.23641    
     23300   297.26254     -4496.2841      65.447         114.82169    
     23400   293.41643     -4491.8433      65.522         117.86489    
     23500   292.28319     -4487.1853      65.597         119.53646    
     23600   280.86307     -4482.2906      65.672         121.95017    
     23700   293.62447     -4477.423       65.747         117.82563    
     23800   306.42705     -4472.5719      65.822         127.25278    
     23900   303.83204     -4467.5864      65.897         115.8459     
     24000   305.9945      -4462.472       65.972         128.78664    
     24100   310.44763     -4457.3884      66.047         124.52781    
     24200   305.92235     -4452.0631      66.122         125.0964     
     24300   315.87779     -4446.6993      66.197         130.67694    
     24400   316.59853     -4441.2581      66.272         128.60078    
     24500   324.87037     -4436.1406      66.347         142.72599    
     24600   317.40478     -4431.7984      66.422         116.33413    
     24700   303.34171     -4428.3487      66.497         120.05828    
     24800   304.46774     -4424.5364      66.572         124.06293    
