ITEM: TIMESTEP
15800
ITEM: NUMBER OF ENTRIES
116
ITEM: BOX BOUNDS pp pp pp
-2.2399916446225905e+01 2.2399916446225905e+01
-1.1128071838990754e+01 1.1128071838990754e+01
-1.1128071838990754e+01 1.1128071838990754e+01
ITEM: ENTRIES index c_dphi
109 -36.1049 
110 -152.926 
111 -164.169 
112 78.0605 
113 -38.7603 
114 -154.663 
115 81.9864 
116 -30.4522 
ITEM: TIMESTEP
15950
ITEM: NUMBER OF ENTRIES
116
ITEM: BOX BOUNDS pp pp pp
-2.2399916446225905e+01 2.2399916446225905e+01
-1.1128071838990754e+01 1.1128071838990754e+01
-1.1128071838990754e+01 1.1128071838990754e+01
ITEM: ENTRIES index c_dphi
1 116.613 
2 -127.343 
3 -6.0032 
4 -133.916 
5 111.262 
6 -7.90565 
7 -124.137 
8 116.695 
9 -9.31503 
10 -9.31971 
11 -128.487 
12 105.502 
13 128.974 
14 6.46894 
15 -107.616 
16 116.545 
17 7.05217 
18 -132.324 
19 118.183 
20 -11.2291 
21 -120.722 
22 168.341 
23 172.882 
24 59.8163 
25 -71.0175 
26 -67.5407 
27 179.393 
28 48.5595 
29 52.2411 
30 -60.825 
31 -102.283 
32 133.311 
33 16.3241 
34 82.8571 
35 -36.4836 
36 -157.585 
37 83.5764 
38 -37.5245 
39 -157.083 
40 -154.351 
41 84.5484 
42 -35.0099 
43 91.8942 
44 -28.657 
45 -148.451 
46 -173.717 
47 -55.2443 
48 64.153 
49 -161.407 
50 -44.94 
51 76.9352 
52 163.898 
53 40.6367 
54 -84.1424 
55 -76.1553 
56 44.2288 
57 162.023 
58 -85.6535 
59 149.965 
60 36.2872 
61 -89.2031 
62 157.119 
63 35.1785 
64 37.0529 
65 -76.6247 
66 161.435 
67 150.365 
68 29.3515 
69 -88.5989 
70 83.1558 
71 -155.88 
72 -43.6777 
73 72.4054 
74 -40.7077 
75 -161.144 
76 78.0007 
77 -42.436 
78 -168.886 
79 -164.476 
80 75.0874 
81 -51.3628 
82 79.4488 
83 -39.4603 
84 -155.661 
85 -168.167 
86 -59.4828 
87 -73.4188 
88 170.227 
89 57.3488 
90 -129.544 
91 -14.0763 
92 100.169 
93 154.861 
94 37.3384 
95 -84.0092 
96 167.221 
97 45.8736 
98 -75.2563 
99 -67.5563 
100 171.096 
101 49.9662 
102 115.258 
103 -118.72 
104 -0.743181 
105 66.1081 
106 -61.1767 
107 -176.833 
108 58.933 
109 -56.7233 
110 -173.782 
111 177.886 
112 62.2296 
113 -54.8293 
114 -150.297 
115 88.2217 
116 -32.0261 
ITEM: TIMESTEP
16000
ITEM: NUMBER OF ENTRIES
116
ITEM: BOX BOUNDS pp pp pp
-2.2399916446225905e+01 2.2399916446225905e+01
-1.1128071838990754e+01 1.1128071838990754e+01
-1.1128071838990754e+01 1.1128071838990754e+01
ITEM: ENTRIES index c_dphi
1 111.767 
2 -131.051 
3 -9.34808 
4 -149.317 
5 91.0064 
6 -24.9325 
7 -146.719 
8 97.3424 
9 -27.0417 
10 -25.458 
11 -141.397 
12 94.2189 
13 147.929 
14 27.2833 
15 -96.1174 
16 115.96 
17 -2.19559 
18 -124.953 
19 116.891 
20 -2.21573 
21 -120.371 
22 150.631 
23 155.104 
24 41.8905 
25 -86.3365 
26 -88.1182 
27 158.669 
28 30.4415 
29 32.0712 
